nama,fakultas,nilai_mat,nilai_kim,nilai_fis
Michelle Jones,FTTM,66.9,31.6,30.98
Dionne Odum,FTMD,76.87,53.81,60.1
Donald Vereb,FTI,61.05,51.82,41.45
Duane Jory,SITHR,77.32,45.32,52.73
Martha Wilson,SAPPK,67.49,20.71,33.98
Thomas Blank,STEI,66.13,55.01,65.12
Matthew Bahena,FTI,69.22,37.97,48.63
Gregory Bowen,FMIPA,55.1,47.13,63.57
Ellen Quinn,FTSL,64.2,18.61,17.88
Gerald Reyes,FMIPA,70.74,31.69,37.89
Meryl Lewis,FTI,56.21,37.82,40.65
Carrie Owens,FTTM,67.61,63.63,68.93
Vicky Grant,STEI,70.66,49.3,51.97
Bobby Asher,FTI,85.19,40.15,39.18
Helena Yee,FTI,65.85,55.96,64.55
Jamie Layne,FMIPA,64.56,48.74,53.55
Francisco Weaver,FTI,52.41,34.77,33.94
Mable Johnson,FTI,73.23,50.18,61.37
Tami Zimmer,STEI,41.34,37.08,44.78
Amy Dowell,FMIPA,82.81,46.28,60.71
Rose Clifford,SITHS,60.1,40.77,48.13
Patricia Givens,FTSL,74.77,50.74,72.47
Herman Shumate,FTTM,88.56,33.36,39.69
Robert Kennedy,FTTM,76.78,54.93,57.24
Loyd Avitia,FTMD,76.3,71.83,76.42
Robert Lee,FTTM,67.09,53.95,42.55
Michael Freeman,FTMD,53.25,53.71,43.92
Steven Montalbo,SITHR,63.57,31.51,35.82
Lillie Pullen,FTSL,85.18,57.68,65.96
Nicole Scruggs,FTI,73.83,49.64,52.42
Bryan Spellacy,FMIPA,58.11,42.81,42.18
Patricia Woods,FTTM,77.81,54.58,65.44
Benjamin Phillips,STEI,97.05,51.36,56.4
Mel Hall,FTMD,83.56,45.97,56.16
Donald Nations,FTTM,62.23,67.93,69.04
Joel Stroup,FTTM,63.23,50.09,66.13
Dean Truett,SAPPK,69.74,36.91,48.28
Joseph Midgley,FTI,69.85,50.51,63.6
Robert Gilbert,FMIPA,87.55,62.08,60.92
Jimmie Nowlin,SAPPK,76.28,19.7,33.97
Dee Theus,FMIPA,55.98,44.49,54.97
Louis Moree,SITHR,38.81,53.49,60.25
Carey Morin,SAPPK,58.0,40.71,46.49
Deborah Nichols,SITHR,82.09,63.38,68.1
George Laue,SITHS,77.65,41.35,53.06
Rhonda Klein,SITHS,49.58,38.8,47.79
Shannon Raborn,STEI,81.66,44.11,57.61
Tyisha King,FTSL,63.46,51.44,61.11
Todd Wells,FTI,79.5,43.81,45.74
John Galan,STEI,75.48,56.52,53.38
Shannon March,STEI,57.3,45.3,55.11
Kathleen Lamarre,FTMD,78.42,26.89,24.3
Roberta Flynn,FMIPA,63.74,36.22,45.16
Jewel Gulbranson,SITHR,49.31,37.89,46.37
Francisco Rodriquez,SITHS,93.88,47.69,62.58
Ernesto Sentell,FITB,70.5,48.76,44.2
Thomas Landry,SAPPK,80.07,34.95,40.49
Alison Gwinn,FTSL,65.94,35.36,46.57
Jesse Moore,FTI,85.4,32.4,53.14
Maria Carpenter,STEI,76.67,39.19,36.82
Elliott Nunez,FTTM,77.82,42.56,43.07
Erin Archuleta,SAPPK,76.88,43.09,54.19
Stephen Stewart,FTI,48.78,33.56,45.7
Dee Dean,SAPPK,61.98,46.79,55.24
Chester Boehme,FTI,74.26,58.72,69.69
Toney Eyre,SAPPK,65.9,39.3,43.66
Ricky Chaney,SAPPK,68.05,34.08,38.22
Richard Oconnor,FTI,84.28,25.88,34.14
Tina Woll,STEI,40.64,54.16,64.61
Joan Brandenburg,FTSL,46.59,36.47,43.98
Alice Fleming,STEI,57.64,58.59,66.86
Brian Gran,FTTM,53.63,50.08,57.83
Daniel Bankston,SAPPK,81.74,54.78,51.05
Lois Weber,SAPPK,80.22,51.45,53.67
Tammy Work,STEI,89.56,52.45,45.41
Felix Merten,FTTM,74.52,44.28,45.61
Sherry Davison,STEI,56.5,37.86,41.23
Joan Danner,FTSL,87.91,43.0,52.36
Gene Saunders,FTI,41.28,39.35,52.58
George Blake,FITB,68.68,41.05,46.42
Terrence Dierks,STEI,52.05,40.35,38.96
Heath Bean,FTI,75.8,41.27,47.23
Ronald Wood,FMIPA,69.25,72.21,84.89
Ellen Haley,STEI,53.97,39.55,50.04
Richard Kantrowitz,FTSL,68.44,63.06,66.39
Candi Davidson,SITHS,87.54,42.67,48.96
Donald Mejia,STEI,74.23,69.04,81.35
Harvey Robinson,FMIPA,56.96,57.22,68.03
Victor Davis,FMIPA,73.79,53.37,64.8
Danny Alexander,STEI,53.05,34.6,37.59
Sarah Wexler,SITHS,81.55,57.0,60.49
Lenora Harris,STEI,63.15,76.36,74.06
Flavia Howard,FTTM,80.35,46.74,59.24
Mamie Alger,STEI,81.08,47.23,53.67
Hans Meier,SAPPK,60.45,48.27,49.69
Mitchel Williams,FTSL,80.7,32.63,44.14
Russell Lewis,FTI,38.98,23.17,36.87
William Goracke,STEI,54.95,36.95,50.98
John Lang,STEI,44.36,54.68,64.77
David Crawford,FTI,75.84,41.21,44.04
Rudy Rotondo,FTSL,76.52,37.47,54.08
Danielle Walshe,FMIPA,47.93,46.4,56.46
Jacinta Menchaca,STEI,65.9,29.32,41.85
Jerome Woods,FITB,67.45,24.84,25.1
Christopher Barreto,FMIPA,61.68,61.13,66.12
Anthony Hoisington,FTMD,50.26,40.79,34.46
Dick Millward,SITHR,67.18,48.97,60.65
Charles Vincent,FTTM,55.42,54.68,54.82
Joseph Mcguire,FITB,73.72,36.94,42.22
Charlotte Ramirez,FMIPA,90.98,39.23,50.32
Julia Mathews,FMIPA,64.08,17.47,46.27
William Porte,STEI,74.47,49.18,66.36
Carmelita Benson,STEI,66.58,51.58,47.85
Ed Greenfeld,FTTM,64.75,37.68,53.47
Claire Bob,STEI,59.43,51.01,55.57
Anne Bell,STEI,54.91,39.68,52.45
Bonita Rodriguez,SAPPK,99.0,36.99,40.17
Jean Rickard,FTI,76.15,52.37,53.87
Linda King,FITB,54.25,35.01,41.31
Robert Caldwell,FTI,73.56,56.73,60.12
Margarita Baginski,SAPPK,71.96,45.24,64.05
Michael Lopez,FMIPA,65.62,52.41,57.59
Robert Williams,FTI,65.74,46.93,47.83
Margaret Waroway,FTSL,63.62,49.56,43.72
Alene Kelly,FTMD,71.86,49.62,45.74
Robert Bubier,FTSL,71.48,48.5,55.39
Evelyn Welch,FMIPA,66.17,38.99,54.56
Jolene Nghe,STEI,74.09,43.02,46.61
Ashley King,FTI,39.49,33.38,52.58
Jacob Young,FTSL,78.93,41.75,53.75
Angel Bryant,FITB,81.05,42.84,53.24
Wendell Landor,FITB,65.11,46.14,49.81
Patrick Jeffers,FITB,71.33,59.49,51.16
Miguel Bush,FTSL,63.44,51.89,53.26
Jake Jackson,FTTM,85.16,35.41,37.61
Eugene Wojenski,FTSL,76.09,49.29,63.59
Sammie Abrams,SITHS,100.0,41.45,45.46
Dwight Anthony,FMIPA,61.07,50.69,61.59
Conchita Mcshea,FITB,62.95,57.48,64.55
Jordan Ruhl,SAPPK,85.52,27.0,37.17
Danny Ricks,FTI,75.02,59.93,67.68
Nina Mccoy,STEI,63.71,44.27,53.85
Linda Stindt,FITB,44.98,62.16,71.25
Timothy Derose,FMIPA,89.57,55.9,69.98
Robyn Scott,FMIPA,68.12,35.61,44.1
David Mandel,FTSL,100.0,41.62,48.51
Ali Graves,FTI,81.76,68.93,68.29
Barbara Reid,STEI,57.83,53.22,54.02
Nanette Lloyd,FTI,57.84,38.11,42.53
David Fallenstein,STEI,68.97,44.73,62.61
Elizabeth Robertson,FITB,63.22,38.49,44.22
Michele Ford,FTSL,67.95,41.5,47.39
Katie Buenrostro,FTTM,72.44,54.08,56.7
Lindsey Flores,FTSL,58.98,44.68,54.1
Paul Bryant,FTSL,72.98,32.67,35.89
Geri Walker,STEI,78.46,53.71,63.6
Priscilla Keck,FMIPA,65.32,69.37,67.19
Brian Rogers,SAPPK,92.8,30.16,41.21
Nicholas Shackleford,FMIPA,66.73,59.82,62.89
Dora Leong,FTI,65.33,44.29,51.64
William Vandis,FTSL,91.0,57.03,65.46
Ed Goodwin,STEI,78.08,56.44,59.55
Rosa Fox,STEI,69.07,50.44,46.25
Diana Alvarez,FMIPA,84.34,42.18,47.26
Crystal Grainger,SITHR,71.51,32.71,45.46
Brad Spencer,FTI,68.32,52.44,48.42
Samantha Grant,FTSL,59.52,62.01,76.07
Jennifer Brewer,FTMD,82.19,53.64,59.54
Kristin Cox,STEI,54.75,60.46,62.9
Ruth Bachand,FITB,76.1,48.06,57.18
Edward Wright,FTMD,56.63,54.22,70.66
Richard Johnson,FTTM,75.04,53.5,56.63
Susan Robinson,FITB,63.85,42.83,62.69
Charles Penn,FTMD,72.13,47.0,62.1
Wanda Holmes,FMIPA,50.87,40.55,58.46
Cierra Tuder,SAPPK,62.77,40.5,50.89
Ronald Irish,SITHR,68.76,49.44,64.7
Louise Resnick,FTI,67.57,49.64,59.35
Jonathan Lovelady,FMIPA,75.23,36.05,34.51
Tommy White,FTMD,69.23,29.33,48.18
Annette Spencer,FMIPA,41.73,42.8,47.98
Ronald Vinck,FTI,67.82,37.1,53.51
Sasha Gober,FTI,86.73,45.64,48.16
Jesus Alderman,FTSL,59.0,51.23,55.77
Elizabeth Nutter,FTMD,59.96,41.98,47.0
Christian Vidrine,SITHS,86.69,19.66,26.62
Joe Duncan,FTTM,90.5,44.91,47.23
Timothy Wood,SITHS,72.03,43.01,64.11
Brandon Buzby,FITB,69.34,48.96,59.94
James Cardwell,SAPPK,67.44,45.99,43.66
Edith Palmer,FTI,97.93,46.61,47.77
Shelly Wofford,FTI,70.79,65.31,74.1
Jerry Fairley,SAPPK,88.55,39.32,36.72
James Pontious,FTSL,60.89,53.86,62.99
Johanna Mattison,SAPPK,78.08,35.45,39.82
Michael Black,STEI,65.19,53.08,65.46
Jean Mcbride,SAPPK,79.19,58.79,68.4
Lolita Cancel,FMIPA,73.36,60.13,54.18
Cleveland Dunn,FMIPA,73.21,57.52,60.39
Howard Duffy,FTTM,40.29,55.04,65.25
Mark Hickey,FTSL,78.65,34.87,43.42
Gregory Stevenson,FTI,83.81,31.39,38.95
Richard Tennyson,FTMD,86.17,49.25,54.6
David Higgins,SITHR,96.7,40.95,39.28
Erica Browder,STEI,59.73,50.37,53.45
Clyde Miller,FTMD,49.62,33.43,49.23
Grace Jefferson,FTSL,68.17,29.88,36.5
William Biedrzycki,SITHR,70.66,24.7,34.01
Angel Owens,STEI,90.33,57.1,57.23
Frances Jones,STEI,43.89,51.06,55.26
Lois Falconi,FTTM,63.14,36.73,52.46
Allie Dill,FTMD,66.43,49.44,49.59
Deanne Gates,STEI,72.88,43.05,56.06
Samuel Mccollum,FITB,52.94,22.17,35.29
Cristina Martin,FTSL,71.07,21.42,43.88
Jonathon Riffel,FTSL,71.38,36.25,48.48
Troy Ries,STEI,70.14,58.58,59.85
Agustin Britton,STEI,61.86,41.72,44.11
Gertrude Geno,STEI,87.28,32.12,37.82
Marjorie Barber,SITHR,85.12,54.77,49.33
Nancy Ross,FTTM,52.81,41.78,62.6
Robert Posas,SITHR,70.18,39.95,59.1
Bernard Daughters,STEI,67.85,37.75,45.73
Thomas Joy,SITHS,69.26,57.15,65.68
Steven Hoffer,FTMD,71.17,43.31,46.2
David Cochran,SITHS,58.37,42.8,60.53
Gwenda Lingle,STEI,87.95,2.09,14.43
Ronald Kay,STEI,44.6,55.29,71.61
Barbara Mann,FTSL,75.28,34.28,46.54
Ryan June,FMIPA,60.49,44.62,55.7
Joseph Barney,FTI,61.84,41.99,44.38
Tera Robbins,STEI,67.99,49.63,49.27
Michael Moon,STEI,71.04,35.96,44.51
Rosemary Ellis,FTMD,78.78,49.25,66.2
Matthew Crespin,STEI,77.64,45.72,64.78
Timothy Godfrey,STEI,72.55,58.65,61.25
Dorothea Gardner,SITHS,61.19,39.97,53.68
Jennie Hyde,FTI,84.19,43.35,46.81
Rachel Blake,FMIPA,80.33,25.26,21.76
Karen Glazer,SITHS,60.96,54.05,79.4
Ross Wyant,FTSL,86.82,48.3,62.49
Floyd Mosley,FTMD,68.27,47.65,49.36
Mary Milton,STEI,47.87,31.51,48.61
Claudie Walker,FTSL,81.14,40.58,39.43
Charles Daugherty,SAPPK,91.52,52.45,62.87
Johnny Critchfield,STEI,57.07,46.23,53.41
Kristen Donahue,FTSL,50.18,48.05,46.42
Robert Dolly,FTSL,83.4,46.12,44.58
William Farnam,FTTM,56.4,47.34,62.84
Nicholas Hathaway,FMIPA,83.58,27.85,40.04
John White,FTTM,77.86,40.23,48.84
Barbara Clark,FTSL,69.13,40.19,61.91
Joshua Dewinter,FTI,54.99,42.37,45.62
Bryce Burton,FTMD,76.44,58.52,59.58
Donna Reyes,FTI,78.57,44.0,47.71
Henry Wyatt,FMIPA,71.29,49.45,54.33
Timothy Grass,STEI,72.97,33.76,45.04
Tommy Douglass,FTSL,66.44,66.38,70.46
Sharon Millsaps,SAPPK,61.31,35.53,53.56
Jeffrey Cisneros,FTTM,79.26,42.59,51.77
Scott Johnson,FMIPA,58.18,64.87,72.47
Rickey Cain,FTTM,57.76,53.53,64.13
Donna Brailey,FTI,54.75,50.84,64.7
Joe Martinez,FTMD,70.61,39.97,38.55
Traci Wigington,FITB,63.11,36.8,53.92
Gerald Yuro,SITHR,64.45,32.32,38.32
Toi Washing,FTI,90.5,38.04,48.28
Steven Barrera,FTTM,70.2,47.42,53.2
Kelli Londono,FTMD,65.67,45.76,53.57
Robert Sierra,FITB,73.96,37.2,61.57
Maria Beck,FITB,89.15,53.67,58.19
Christopher Johnson,SITHR,36.06,53.13,56.85
Lezlie Weber,FMIPA,79.96,31.13,41.18
Ernest Porter,FMIPA,76.86,39.42,64.85
Lee Powers,FTMD,52.89,42.83,48.84
Dennis Mcdonald,FTTM,87.09,55.6,62.95
Howard Davis,FTI,45.92,39.85,55.84
Lonnie Burnett,FTSL,74.19,57.96,68.87
Wanda Blaylock,FTTM,73.86,37.19,33.69
Travis Taylor,FITB,56.45,39.86,44.1
Linda Smittle,FITB,64.56,20.62,25.32
Stacy Landreth,FITB,62.33,38.72,37.31
Steven Morris,FTTM,69.76,45.91,71.68
Chad Manzione,FTSL,43.17,33.82,46.81
Evelyn Flaherty,SITHS,62.11,38.32,37.08
Charlie Cusick,FTMD,53.14,49.04,61.79
Tracy Thompson,SITHR,64.05,39.61,48.08
Sandra Munnis,FMIPA,64.02,37.65,41.79
Douglas Ellis,FTI,79.55,49.07,43.43
Penny Pregler,SAPPK,69.52,39.13,45.49
Amy Cain,FTSL,61.77,47.84,51.33
Catherine Esqueda,FMIPA,69.37,53.79,58.48
Gloria Isabell,FTMD,85.73,48.12,52.41
John Paul,FTSL,67.32,49.88,53.93
George Green,SAPPK,59.78,50.66,57.78
Marcus Ballou,STEI,68.1,43.95,40.09
Karen Fox,FTI,74.7,33.06,42.37
Harold Phipps,FTMD,62.93,45.63,50.84
Kristina Ryan,FTSL,65.28,39.72,51.67
Janet Rollins,FMIPA,49.47,32.73,34.25
Ruth Ness,STEI,81.16,35.78,42.79
Lawanda Russell,FTTM,81.97,49.22,56.2
Scott Lyons,FTMD,96.59,32.28,38.03
Doris Emmanuel,FTI,75.78,41.7,43.41
Mitchell Matton,FTSL,61.76,54.9,52.61
Chong White,FTI,41.14,44.85,50.39
Karina Moore,FITB,72.87,54.61,51.27
Shawn Riley,FTMD,80.46,41.12,55.99
Jerri Molder,SITHR,68.29,62.09,66.21
Chas Brewer,FTI,74.99,40.13,36.85
Donna Johnson,FITB,74.04,32.69,43.23
Bryan Green,FTMD,66.26,36.02,45.94
Gloria Ruff,FITB,77.0,52.94,68.57
Thomas Coleman,FTI,56.14,64.12,67.11
Pedro Daniel,FTTM,83.9,51.64,60.08
Lesley Gonzales,STEI,83.23,58.9,64.72
Shane Hamilton,FTSL,65.87,57.28,51.32
Karen Rhymes,SITHS,65.86,50.18,54.95
Tyler Rangel,FMIPA,80.6,57.74,62.12
Alexandra Johnson,FTI,80.94,57.71,54.89
Hector Lyles,SAPPK,44.99,57.2,74.18
James Kirschner,SITHS,52.64,41.21,54.18
George Hewitt,FMIPA,89.65,33.86,40.72
Ester Rios,FTI,32.42,35.2,32.49
Barbara Johnson,FTSL,70.33,70.27,63.79
John Maldonado,FTI,81.84,58.85,73.01
Chris Corbin,FTSL,49.67,53.88,73.19
Marilyn Richards,SAPPK,90.07,49.27,49.54
Debra Moeller,FMIPA,71.46,29.26,40.63
Thelma Swanson,FTTM,74.64,59.12,63.49
Agnes Sherlock,FMIPA,69.79,41.06,54.77
Dana Brucculeri,FITB,73.56,55.29,72.96
Robert Wiker,STEI,84.8,28.75,39.09
Kenneth Gomez,STEI,49.99,37.39,32.93
Regina Delung,SAPPK,81.92,19.82,31.38
Dora Howard,STEI,63.89,49.1,52.83
Heather Wright,STEI,63.57,24.26,31.57
Peter Grace,FMIPA,57.07,49.06,57.81
Bella Cardwell,FTSL,85.79,38.22,43.54
Michelle Reeder,FTSL,81.74,47.34,60.33
Mickey Studdard,FTSL,72.24,69.99,70.66
Erin Valentin,FTI,60.18,50.65,47.81
Patricia Kimball,FMIPA,63.32,45.99,51.26
Rubye Rash,STEI,86.16,53.14,51.81
John Holifeild,SITHR,81.35,38.72,50.47
Frank Hampton,FITB,63.36,52.1,60.76
Lula Burlew,FTTM,46.74,49.04,63.63
Jorge Phillips,FITB,45.56,44.99,51.85
Sherrie Jones,FITB,92.87,46.18,49.56
Martha Kulas,FTMD,62.92,41.87,55.4
Bronwyn Kaleta,SAPPK,53.2,55.47,58.41
Karin Mcmorran,SITHS,87.3,44.31,61.65
Ryan Pang,FTI,100.0,62.84,72.59
Sally Moller,FTI,90.83,53.12,60.86
Kellie Cantu,SITHR,67.3,39.89,49.63
Amanda Kern,FITB,69.5,43.6,56.77
Rose Locke,STEI,69.8,58.95,66.54
Bruce Forester,FTTM,64.17,29.57,41.48
Anne White,FITB,60.55,55.68,61.47
George Jackson,FTTM,73.79,48.46,53.94
Joyce Lanasa,SAPPK,80.54,26.79,36.39
Mike Collins,FTI,100.0,27.0,42.5
Kenny Helmick,STEI,71.47,42.54,53.74
Mary Darnell,FTTM,100.0,51.02,53.7
Mary Hughes,SITHR,71.78,65.66,63.12
Paul Mankins,SITHS,67.82,44.23,52.42
Elaine Franco,FITB,77.38,42.53,40.49
Donald Haas,FTI,62.52,57.69,74.56
Ana Graves,SITHS,68.29,56.66,72.94
Gavin Coleman,STEI,55.69,42.97,50.43
Roberto Sanchez,FTMD,74.22,48.65,66.47
Edward Lacroix,FMIPA,53.71,42.56,46.13
Rose Loyd,SITHR,64.3,52.85,61.81
Arthur Lambert,STEI,51.79,40.29,58.27
Tom Bell,FTI,70.03,37.2,29.5
Maria Ericson,FTTM,72.54,63.82,72.9
Joni Lillian,STEI,56.77,39.33,42.88
Teresa Powell,FTMD,73.44,42.28,43.21
Maxine Armour,STEI,75.99,47.76,52.14
Sharon Dickerson,FTTM,67.32,59.72,72.36
Yolanda Soliz,FTSL,71.2,48.58,49.09
Mabel Dardar,SAPPK,51.37,67.26,72.9
Angelia Lanier,FTSL,50.69,34.23,32.65
Joyce Coulson,FITB,82.18,33.81,45.68
Dan Clayton,FTTM,65.93,56.73,39.96
Don Sherman,FTSL,81.08,46.82,46.47
Walter Corporan,STEI,76.5,57.25,75.18
Salina Thackston,FTMD,74.43,56.3,55.43
Matthew Holmes,FTSL,77.84,41.09,44.95
Kenneth Dombeck,STEI,76.14,19.62,32.72
Celeste Thrasher,FTMD,80.94,49.73,53.58
Barbara Castello,STEI,50.63,50.39,54.02
Denny Ybarra,FTTM,71.63,62.25,55.17
Richard Aaron,FMIPA,80.37,49.77,54.2
James Patel,FTTM,71.08,53.51,47.85
Edward Morrow,FMIPA,49.05,42.04,54.31
Angela Beyer,FTI,88.54,49.54,54.98
Gregory Kane,FTTM,73.78,58.9,56.48
Mark Young,FMIPA,75.76,63.22,63.27
Tim Esquivel,FTMD,75.14,58.09,74.68
Josephine Taylor,STEI,64.68,58.65,67.53
Patricia Rivers,FTMD,71.72,59.12,54.35
Nelson Shipman,FTMD,52.67,43.04,50.73
Johnny Stansbery,FTI,47.67,39.08,45.55
Anita Bates,FTTM,73.34,29.87,44.96
Theresa Patillo,FTI,69.3,23.71,47.61
Nancy Coro,FTTM,78.88,46.65,54.56
Salvador Steen,FTTM,64.98,61.42,50.37
John Aaron,FTSL,98.75,33.47,42.24
Johanna Stovall,STEI,65.4,63.43,72.61
Nancie Vernon,FTTM,66.06,25.65,33.08
John Anderson,FMIPA,56.47,66.0,58.22
Christopher Hvizdos,STEI,85.58,52.63,62.41
Sherry Mccown,FTSL,66.21,21.1,38.43
Julianne Moser,FTMD,80.01,45.1,58.5
Maureen Otto,FTI,68.0,51.51,56.4
Marie Cubbage,FTTM,80.59,40.97,54.83
Robert Walton,FMIPA,71.29,33.61,52.91
Madeline Prior,STEI,71.23,27.88,31.44
Raymond Anderson,STEI,66.77,54.95,72.15
Jeanna Jacquez,FTTM,74.42,51.64,59.46
Casey Kohler,STEI,46.38,42.67,43.01
Bettye Curtis,FTSL,67.86,62.79,66.39
Dorothy Golden,FITB,67.74,51.78,58.87
Diane Cook,FTSL,62.23,27.44,40.33
Sue Hutchins,FTI,68.48,54.77,60.28
Janice Corona,FTSL,66.89,34.37,46.56
Bonnie Cooper,FMIPA,60.85,32.6,37.15
Monica Smith,FTI,85.93,39.72,55.72
Derek Galvez,FTI,70.58,63.91,70.79
Dana Scott,SITHR,60.79,44.63,57.23
Melissa Patnode,FMIPA,65.6,44.47,61.07
Michell Bridenbaker,FMIPA,75.83,32.25,44.5
Wanda Schaefer,FTSL,80.99,43.43,57.9
Sara Garcia,FMIPA,61.68,39.41,55.35
Mary Holdsworth,FTI,68.95,52.97,52.51
Christina Gustavson,FTMD,54.86,63.32,79.84
Barbara Barnhill,SITHR,82.11,53.85,57.77
Brain Soapes,FTI,64.28,48.61,54.65
Kathy Evers,FTTM,60.44,32.47,55.3
Nancy Dehart,FITB,77.91,31.82,32.84
Kris Carls,FTI,74.71,51.25,54.22
Mary Karl,FMIPA,54.77,45.38,51.11
John Broun,SITHS,61.95,41.03,42.93
Joseph Cox,FTI,56.27,54.01,55.89
Julie Aviles,STEI,58.74,43.41,43.23
Elizabeth Lemke,FTSL,54.13,55.56,60.84
Rod Machak,FMIPA,49.08,32.54,42.43
Pedro Tolbert,FITB,66.53,58.34,49.06
Dennis Lilly,FTSL,67.6,54.89,63.44
Donald Steir,FTSL,81.15,46.87,47.85
Dora Muni,FITB,78.74,30.52,52.92
Wayne Clark,FTSL,39.36,47.36,50.32
Albert Eber,FTTM,59.36,64.68,56.66
William Travelstead,FITB,60.72,28.48,37.45
Dennis Nichols,FTI,68.04,53.4,60.65
Edward White,FTI,67.33,43.26,64.2
Lucienne Claiborne,FMIPA,73.37,55.26,59.81
Justin Parker,FTTM,71.63,38.63,43.31
Charles Welch,SITHR,86.96,46.56,46.93
Frank Quiroz,STEI,77.43,34.74,46.86
Bernarda Hirth,FTI,89.55,71.13,79.75
Pat Denard,FTSL,81.54,37.31,50.95
Eric Richter,FTI,51.73,31.51,48.63
Joe Miller,FMIPA,50.39,59.47,60.26
Lana Moore,FTI,88.31,36.45,43.32
Stephen Jones,FTSL,61.63,33.74,53.92
George Murry,FTTM,57.57,38.99,54.57
Gladys Pickard,FMIPA,60.35,22.25,25.58
Henry Lorenz,FTSL,71.43,17.11,41.47
Judy Curtis,FITB,65.12,48.04,55.38
Margaret Roberts,FTI,70.97,66.19,64.92
Christopher Sims,FTI,74.08,31.6,42.26
Janice Lytell,FTTM,34.37,43.28,58.65
Gregory Wade,FTSL,47.16,39.03,54.51
Scott Devoy,FTTM,73.16,24.96,47.55
Linda Henderson,FTI,75.1,52.38,58.88
Billy Schumacher,FTSL,56.75,50.65,53.28
Sarah Plummer,FTI,77.4,49.33,49.19
Steven Marguez,FTSL,82.07,19.3,35.84
Julie Blanchard,STEI,74.5,42.23,53.89
Sandy Lake,FITB,69.43,50.82,48.39
Billy Tennon,FTSL,80.56,71.57,85.95
Stuart Vuong,FTTM,61.48,35.68,49.24
Mayme Brown,SITHR,65.68,38.19,40.51
Julia Gross,STEI,86.19,41.49,51.89
Debra Delangel,FTSL,74.25,31.15,40.6
James Castellon,FTMD,73.98,34.12,38.0
Roy Sharp,FMIPA,70.28,64.12,58.87
Rex Sherwood,FITB,70.04,47.83,48.35
Waylon West,FTI,58.3,26.14,42.79
Kim Hill,FTSL,83.31,24.8,39.54
Scott Schaffner,FTMD,94.74,42.77,58.39
Shelly Aceuedo,SITHR,83.59,39.33,55.93
Dale Vanscooter,STEI,50.13,41.5,40.58
Mark Melendez,FTTM,78.7,61.75,68.92
Charlene Thibadeau,FTI,78.86,24.05,25.58
Florence Rodrigues,FTMD,70.04,57.19,61.2
Kristin Williams,SAPPK,66.3,54.8,69.47
Rhonda Tasler,FMIPA,74.01,24.33,30.48
Charles Losacco,FTSL,73.97,48.98,49.8
Linda Phillips,FTMD,67.09,53.79,57.24
Everett Grossman,SITHS,70.13,31.54,43.79
Michael Martin,FTI,78.75,39.56,55.98
John Milton,SAPPK,86.91,36.15,36.87
Angel Payton,FTTM,47.43,50.42,57.83
Latonya Velez,FTSL,76.12,39.05,38.34
Diane Alexander,FTSL,74.56,67.23,64.07
Robert Benjamin,FTI,77.62,63.55,61.15
Rickie Blevins,SITHR,81.03,44.84,61.62
George Morrissey,FTI,68.8,47.93,50.18
Delores Seyler,SITHS,35.2,59.75,60.6
Edward Whitlock,FTTM,48.26,52.69,52.09
Patricia Johnson,STEI,71.02,46.3,52.59
Julio Spasiano,FTSL,54.93,43.01,68.26
Edward Moss,FTTM,60.69,62.58,58.47
Cecil Puhl,FTMD,71.34,46.57,48.87
Kellie Cadenas,STEI,80.15,34.96,35.12
Richard Green,FITB,60.2,61.57,75.69
Megan Pipkin,STEI,58.26,15.83,22.84
Karen Sweet,SAPPK,82.9,43.25,44.73
Madeline Harris,SAPPK,75.75,52.39,65.95
Julia Treaster,STEI,81.86,42.73,57.3
Kathy Jones,FTSL,78.4,37.48,52.54
Geraldine Vidinha,FMIPA,48.52,42.4,50.52
Daniel Cole,FTSL,65.91,39.7,58.77
Lorraine Carrasco,FMIPA,87.9,52.68,60.59
Elizabeth Jones,STEI,86.18,48.06,67.0
Christopher Black,SITHR,80.19,45.28,55.78
John Moore,STEI,82.51,46.63,52.47
Gwendolyn Cosgrove,FTI,84.92,55.41,70.41
Marion Johnson,FTI,62.7,38.67,55.15
Delores Burkman,FTI,68.76,55.94,59.46
Richard Bernardo,FTI,67.31,43.02,53.82
Molly Belcher,STEI,64.94,29.12,35.25
Erin Smith,FTSL,72.93,47.16,69.82
Joyce Wassinger,SITHR,62.91,38.52,43.48
Curtis Stone,FITB,77.56,56.53,52.97
Donald Wolfe,FTMD,59.38,39.22,62.24
Mary Orr,FTI,76.28,38.65,55.94
Raymond Morales,FTTM,67.7,31.1,36.97
Fredrick Hernandez,SITHR,89.66,39.43,46.86
Ray Perna,FTTM,59.89,47.31,61.3
Jill Thompson,FITB,67.06,51.75,49.24
Enrique Swisher,FMIPA,74.59,56.31,65.17
Vincent Hukill,FMIPA,70.89,61.66,64.21
Lucy Burkett,SITHR,94.06,37.69,51.15
Alan Kennelly,SITHR,64.5,51.71,63.85
Holly Everson,FTI,78.48,51.43,50.52
Stephen Perrigan,FMIPA,54.73,73.88,72.57
Joseph Johnson,FTI,58.93,42.03,44.71
Anthony Royster,FMIPA,66.9,48.42,55.5
Joe Steiger,FTSL,61.82,36.25,27.32
Benny King,FTSL,58.81,43.11,62.36
Roy Zamorano,FTI,69.8,43.98,44.51
Jose Ralls,SAPPK,63.97,57.24,49.91
