nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
Dr. Eko Mardhiyah,Jalan Stasiun Wonokromo No. 0,Surabaya,+62-044-252-5246,1976-04-11,2.12,2018-06-02
"Tgk. Aslijan Suryono, S.Ked",Jl. Rajiman No. 5,Malang,+62 (809) 242-2138,1984-11-06,2.23,2020-10-17
Kalim Jailani,Gg. Setiabudhi No. 394,Singkawang,+62 (361) 004 5377,1986-03-13,2.19,2021-03-14
Arta Napitupulu,Gang Asia Afrika No. 19,Kediri,+62 (80) 049-1905,1989-10-10,2.02,2021-10-30
Murti Pratiwi,Jl. Erlangga No. 719,Pekanbaru,+62 (963) 059-7943,2001-12-12,2.08,2022-09-09
Kusuma Iswahyudi,Gg. Veteran No. 574,Surakarta,(0984) 044 6538,1995-04-18,2.0,2022-08-05
Mulyanto Anggriawan,Jl. Kebonjati No. 878,Salatiga,080 637 7688,1967-11-09,2.15,2022-11-20
"R.A. Ade Nugroho, S.Sos",Jl. Laswi No. 64,Bengkulu,+62 (16) 876 9501,1999-08-28,2.15,2018-08-21
"Harimurti Prakasa, S.Farm",Jl. Cempaka No. 02,Batu,+62 (789) 825 8346,1998-03-14,2.15,2022-07-14
Ganep Firmansyah,Jl. Sukajadi No. 4,Tanjungbalai,(049) 952 2289,1988-07-21,2.1,2019-11-21
Jaga Palastri,Gg. Tebet Barat Dalam No. 4,Meulaboh,+62 (78) 680 8206,2001-05-24,1.9,2018-06-03
"Unggul Prayoga, M.Kom.",Jl. Jayawijaya No. 6,Ambon,+62 (0719) 940 0549,1996-12-06,1.98,2020-11-10
Rizki Yuliarti,Gang Otto Iskandardinata No. 303,Kota Administrasi Jakarta Selatan,+62 (066) 281-4669,1980-04-28,1.79,2020-10-23
"Nurul Zulaika, S.Farm",Gang S. Parman No. 96,Cilegon,+62-004-971-0095,1997-06-15,3.55,2023-03-13
Alika Widodo,Jalan Cikutra Barat No. 890,Tasikmalaya,+62 (65) 245-3993,1980-05-03,2.14,2019-06-01
Nabila Riyanti,Gg. Pasteur No. 821,Jambi,0807577090,1989-01-09,3.56,2018-08-16
Dalimin Latupono,Gang Sukabumi No. 91,Pariaman,+62-0933-596-9452,2001-04-17,1.97,2021-11-01
"Fitriani Gunawan, S.Pt",Gang Rajiman No. 46,Subulussalam,+62 (0160) 048-5710,1997-08-21,1.39,2020-02-13
Saiful Kuswoyo,Gang Dr. Djunjunan No. 438,Tebingtinggi,+62 (047) 588-9428,1965-01-24,3.12,2020-03-22
"Zulaikha Maryadi, S.Sos",Jalan Soekarno Hatta No. 26,Tegal,(039) 425 2940,1978-09-22,3.11,2019-07-29
"Cut Lalita Novitasari, S.I.Kom",Jalan Antapani Lama No. 96,Pekanbaru,+62 (050) 652-7332,1967-12-22,3.1,2018-07-23
Atmaja Pradipta,Jalan Sukabumi No. 15,Magelang,+62 (39) 227-0403,1975-05-23,3.48,2021-10-20
Ella Sirait,Gg. Suniaraja No. 645,Langsa,+62 (423) 783-0649,1985-06-08,3.06,2022-08-01
Tgk. Mala Prabowo,Gang Rajiman No. 212,Sabang,+62 (0760) 279 5814,1998-07-08,3.23,2019-11-30
Ratna Narpati,Gg. Gedebage Selatan No. 9,Mataram,+62 (0501) 495-6451,1985-04-10,2.94,2021-11-30
Arta Jailani,Gang Cikapayang No. 8,Tebingtinggi,+62 (81) 790-9284,2003-02-05,2.76,2019-08-27
"Hj. Diana Hassanah, M.M.",Jalan Kutai No. 27,Manado,+62-05-407-9472,2002-04-05,3.22,2022-11-04
"Drajat Lailasari, S.IP",Jl. Pelajar Pejuang No. 7,Bandar Lampung,0816158305,1978-08-09,3.4,2018-06-08
"Dr. Syahrini Putra, S.Ked",Gg. Jayawijaya No. 168,Malang,+62 (676) 515-7484,1988-11-11,3.07,2023-02-24
"Halima Purwanti, S.T.",Gang Pasirkoja No. 94,Metro,+62 (067) 887 4926,2001-07-21,3.08,2018-10-23
"Fitriani Tampubolon, M.Kom.",Gg. Wonoayu No. 9,Palangkaraya,085 090 0548,1973-09-02,2.44,2018-11-23
Jumari Suartini,Gg. Ronggowarsito No. 347,Palembang,+62 (068) 266-2251,1989-04-05,3.27,2020-10-06
Winda Ardianto,Jl. H.J Maemunah No. 71,Pekanbaru,(0972) 777 3263,1992-12-21,3.47,2022-01-06
drg. Michelle Sudiati,Jalan Astana Anyar No. 631,Padang Sidempuan,(040) 399 3231,1988-02-18,2.81,2021-02-28
Ana Sihombing,Jl. M.T Haryono No. 3,Subulussalam,0879582019,1997-11-30,3.19,2021-01-08
Olivia Nasyidah,Gg. Cikutra Barat No. 41,Sungai Penuh,(057) 614-6993,1975-03-08,3.31,2021-07-30
Lamar Sihotang,Jalan Gegerkalong Hilir No. 0,Sungai Penuh,(000) 537 1191,1986-10-21,3.52,2021-09-21
Ivan Santoso,Jl. Rumah Sakit No. 54,Sukabumi,(0813) 401-9438,1966-07-11,3.19,2019-11-23
"Drs. Genta Mandasari, S.Sos",Jl. PHH. Mustofa No. 064,Kupang,+62 (83) 165 1813,1977-09-29,3.44,2018-12-06
Dirja Maryati,Jalan Suryakencana No. 142,Pariaman,+62 (070) 177 9646,1997-02-28,3.35,2022-03-05
Abyasa Gunawan,Gg. Pelajar Pejuang No. 907,Bekasi,+62 (83) 532-0848,1972-06-17,3.11,2018-08-07
Raden Prakasa,Jl. Gedebage Selatan No. 53,Palembang,+62 (266) 695-1635,1966-07-07,3.21,2021-07-10
Jayadi Andriani,Gg. Dipatiukur No. 978,Banjar,+62-737-415-0125,1991-12-25,2.65,2023-01-01
Kusuma Putra,Jalan Pasir Koja No. 1,Kota Administrasi Jakarta Barat,+62 (521) 931 9323,1982-05-27,2.94,2018-11-14
Sabri Nasyiah,Gang Dipatiukur No. 020,Kupang,086 313 8506,1997-09-03,3.42,2022-12-06
Aurora Hidayat,Gg. Raya Setiabudhi No. 418,Banjarmasin,+62 (004) 268-0143,1998-01-05,2.83,2020-05-08
Ir. Kemba Nasyiah,Jalan Dr. Djunjunan No. 1,Sabang,(080) 334 5410,1993-06-27,2.75,2021-08-15
dr. Prayogo Wahyuni,Jl. Peta No. 30,Banda Aceh,+62 (720) 468 4937,1971-11-13,2.06,2022-11-15
Umay Tampubolon,Jalan Monginsidi No. 1,Cimahi,+62 (652) 137 2157,1976-12-30,3.17,2022-10-02
"Liman Hidayanto, S.Kom",Gang Gardujati No. 755,Lhokseumawe,+62 (075) 683 4098,1968-12-06,3.67,2022-06-19
Indah Sihombing,Gang Pasirkoja No. 588,Kotamobagu,+62 (085) 946-1337,1969-05-28,3.77,2018-07-07
Mumpuni Marbun,Jl. Tebet Barat Dalam No. 20,Kota Administrasi Jakarta Timur,(062) 889 8997,1966-08-11,3.5,2022-01-29
"Tgk. Aswani Yolanda, M.Ak",Gang Gedebage Selatan No. 124,Pekalongan,(099) 774 3369,1977-01-09,3.48,2019-07-27
Wulan Prasetyo,Jl. Tebet Barat Dalam No. 74,Palangkaraya,+62 (252) 235 7575,1990-06-21,3.52,2018-06-04
"Hj. Padmi Uwais, M.Pd",Gang Sadang Serang No. 46,Makassar,+62 (0390) 581 0745,1986-10-13,3.46,2018-11-18
Silvia Wibowo,Jalan Antapani Lama No. 685,Bukittinggi,(0791) 278-7245,1963-10-17,3.6,2019-07-19
"Dt. Rahman Yulianti, S.Kom",Gang Bangka Raya No. 4,Tanjungpinang,+62-062-197-2828,1969-12-29,3.58,2020-05-12
Puti Andriani,Jl. H.J Maemunah No. 020,Payakumbuh,+62 (032) 975-7968,1993-06-30,3.44,2018-08-05
Tami Prastuti,Jalan Pasir Koja No. 711,Sukabumi,(012) 402-7222,1984-02-26,3.5,2022-09-27
"Ir. Rachel Suwarno, S.Gz",Gang KH Amin Jasuta No. 9,Tebingtinggi,+62 (094) 715 2777,1968-07-04,3.48,2020-06-22
Putu Jailani,Jalan Indragiri No. 4,Padang Sidempuan,+62 (70) 372 9998,1974-04-14,3.6,2019-01-19
"Jagapati Irawan, M.TI.",Jalan Setiabudhi No. 2,Kediri,+62 (39) 967-9798,1999-08-22,3.29,2022-09-22
"Puti Jasmin Pangestu, S.Ked",Gg. M.T Haryono No. 88,Bitung,(0257) 410 0481,1970-01-22,3.6,2019-06-16
Sarah Budiman,Gang Moch. Toha No. 5,Palopo,+62-972-368-2509,1982-02-07,3.46,2020-10-05
Paris Hutasoit,Jalan M.T Haryono No. 991,Batu,+62-88-858-1924,1991-07-25,3.29,2021-09-25
Gamanto Salahudin,Jalan Pasteur No. 554,Semarang,(017) 386 7991,1999-12-10,3.62,2020-10-11
Cakrabirawa Utama,Jl. Ir. H. Djuanda No. 0,Pagaralam,(0153) 335-7420,1966-03-06,3.71,2023-02-08
Siti Suryono,Jalan Abdul Muis No. 60,Lhokseumawe,080 590 5003,1969-10-18,3.6,2021-04-02
Silvia Pratiwi,Gang Suryakencana No. 390,Tegal,+62-005-156-9976,1968-10-15,3.52,2021-04-25
"Puti Devi Lazuardi, M.TI.",Gg. Jend. A. Yani No. 7,Ternate,085 200 6572,1997-01-31,3.75,2023-01-16
Tgk. Cindy Palastri,Gang Ciwastra No. 834,Tegal,+62 (225) 501 8026,1993-10-16,3.58,2020-02-11
Gamani Sitompul,Jalan Gardujati No. 8,Banjar,+62 (09) 138 2146,2001-05-20,3.56,2019-07-08
Hj. Laila Mulyani,Jl. M.T Haryono No. 6,Magelang,+62 (346) 950-0588,1989-06-26,3.57,2021-03-05
Rusman Wibisono,Gg. Gegerkalong Hilir No. 55,Pariaman,+62-0733-493-2279,1968-02-14,3.35,2020-08-11
Rafi Hidayanto,Jalan Sentot Alibasa No. 9,Manado,(074) 277 6721,1994-08-21,3.65,2022-08-02
Harjasa Pangestu,Jalan Jakarta No. 916,Bukittinggi,+62-69-754-4574,1993-05-04,3.33,2020-08-30
Labuh Winarno,Gang Indragiri No. 7,Mojokerto,+62 (340) 114 0627,1984-11-12,3.0,2019-07-15
R.A. Fitria Puspita,Gang Jend. A. Yani No. 9,Payakumbuh,(054) 164 0447,1966-07-03,2.9,2023-03-08
"Tasnim Kurniawan, S.I.Kom",Jl. Abdul Muis No. 713,Kupang,+62-84-020-0518,1995-12-24,3.12,2020-03-15
dr. Ghaliyati Tampubolon,Gg. Sukabumi No. 44,Palangkaraya,0881882679,1993-12-19,3.28,2020-12-12
Almira Mulyani,Jl. Gardujati No. 8,Kota Administrasi Jakarta Timur,(0840) 542-6335,1998-06-22,3.3,2021-09-01
"Drs. Wani Wijayanti, S.Psi",Gang Rawamangun No. 10,Tual,+62-091-702-1304,1997-11-24,3.05,2019-07-17
Gawati Rahimah,Jl. Soekarno Hatta No. 54,Bandung,(078) 342 8942,1991-07-17,2.38,2022-10-25
"Adikara Permata, S.E.",Jalan Antapani Lama No. 619,Tarakan,0885607840,1971-10-10,2.41,2020-09-13
Sari Samosir,Jalan Ir. H. Djuanda No. 88,Kota Administrasi Jakarta Barat,+62-75-054-2074,1996-02-20,3.06,2021-11-27
Embuh Latupono,Gang Kendalsari No. 16,Gorontalo,+62 (0239) 726-3769,1967-09-10,3.08,2019-12-25
Galuh Simbolon,Jl. Jamika No. 175,Bogor,+62 (32) 709-7134,1984-03-30,3.4,2021-05-09
Paulin Dongoran,Gang Surapati No. 1,Meulaboh,+62-86-319-7598,1985-06-02,3.05,2020-02-03
Ajiman Suwarno,Jl. Kiaracondong No. 291,Palopo,(046) 391 5512,1999-04-14,2.85,2020-01-04
"Ira Prasetya, S.Gz",Gg. Surapati No. 796,Salatiga,(087) 686-1816,1987-07-22,3.49,2020-05-18
Ratih Pudjiastuti,Gg. Moch. Ramdan No. 39,Tanjungbalai,+62 (22) 991 8585,1979-01-11,3.01,2022-07-08
Ella Wacana,Jalan Joyoboyo No. 0,Solok,(0758) 178-2745,1978-09-03,3.19,2022-10-04
Ir. Nugraha Santoso,Gg. Cihampelas No. 561,Pekalongan,+62 (0625) 625 4534,1968-04-21,2.92,2020-05-21
Jane Yuliarti,Gg. Waringin No. 9,Mojokerto,+62-777-111-6941,2000-08-07,3.28,2022-12-14
Cici Hutapea,Gang Cempaka No. 38,Madiun,+62-0903-354-6472,1995-01-31,2.92,2023-01-19
"Limar Prakasa, S.H.",Jalan Antapani Lama No. 28,Blitar,+62-0774-848-0460,1968-07-27,3.26,2019-05-20
Jessica Ardianto,Jalan Sukajadi No. 5,Tarakan,+62 (23) 838 7386,1984-12-04,2.98,2020-01-01
Hasna Usada,Jalan Veteran No. 743,Gorontalo,+62 (93) 143-4312,1971-07-05,3.55,2020-12-23
"R. Purwadi Rajasa, S.Sos",Gg. Jend. Sudirman No. 11,Banda Aceh,+62 (094) 307-8468,1978-05-03,3.34,2021-09-30
"R.A. Vera Sudiati, M.Kom.",Jl. Ciwastra No. 51,Padang Sidempuan,+62 (72) 010 3873,1990-12-15,3.02,2020-11-02
Balapati Wacana,Gg. Tebet Barat Dalam No. 76,Jayapura,+62 (88) 169 5145,1963-11-25,3.4,2021-07-13
"Ratih Gunarto, S.I.Kom",Jalan Bangka Raya No. 6,Kupang,(0856) 083 8708,1975-10-17,3.25,2019-11-08
"Sutan Ilyas Maulana, S.Pd",Gg. Abdul Muis No. 83,Langsa,+62-563-943-6997,1992-04-30,3.61,2022-09-02
Hj. Rina Nasyidah,Gg. Dipatiukur No. 53,Probolinggo,0874348849,1970-11-21,3.75,2019-04-21
R.M. Gandi Utami,Jalan Antapani Lama No. 672,Tarakan,0819216159,1990-02-26,3.19,2019-10-23
Jagapati Wulandari,Jl. Pelajar Pejuang No. 10,Langsa,084 644 0554,1977-09-09,3.59,2020-08-13
"R.M. Rahman Samosir, M.Farm",Gg. Waringin No. 2,Bau-Bau,+62-60-436-1197,1971-11-26,3.75,2021-03-19
Drs. Hartana Najmudin,Jl. Rajawali Barat No. 174,Bitung,087 977 3524,1992-10-02,3.53,2022-11-15
"Tantri Oktaviani, M.Farm",Jl. Suryakencana No. 741,Ternate,(0717) 373-2289,1997-05-03,3.28,2022-06-20
"Tami Sihotang, S.E.",Jalan Suniaraja No. 908,Gorontalo,(0175) 453 5325,1998-03-10,3.5,2018-09-17
Bakiadi Nababan,Gg. Cikutra Barat No. 9,Jambi,(028) 792-9744,1969-05-03,3.64,2018-12-25
Jarwi Padmasari,Jalan Ahmad Yani No. 620,Sukabumi,+62-0537-322-3322,1990-12-11,3.44,2022-07-20
Rina Situmorang,Gg. Peta No. 346,Depok,+62-016-734-9224,1991-01-23,3.62,2018-10-05
"R.M. Lukman Winarsih, M.Farm",Jl. Veteran No. 4,Purwokerto,+62-001-799-0203,1967-05-22,3.41,2020-10-15
Pia Latupono,Jalan Pasteur No. 80,Tual,+62 (0585) 880-3379,1967-06-28,3.71,2019-12-02
T. Gandi Wibowo,Jalan Ir. H. Djuanda No. 5,Gorontalo,+62-0669-006-8121,1983-11-27,3.36,2022-03-13
Chelsea Farida,Gg. Gegerkalong Hilir No. 098,Sorong,+62-675-784-6350,1967-01-20,3.44,2021-11-08
"Heryanto Uwais, S.Pt",Gang Antapani Lama No. 190,Batam,+62 (37) 742 4291,1977-04-26,3.5,2020-08-08
"Hani Hartati, S.Pd",Jl. K.H. Wahid Hasyim No. 60,Sorong,+62 (343) 769 3376,1991-01-30,3.16,2019-12-26
Dr. Ajimin Oktaviani,Gang Merdeka No. 91,Sorong,0856605980,1984-04-25,3.27,2018-09-15
Cager Tarihoran,Jalan M.T Haryono No. 3,Lubuklinggau,+62 (028) 822-2459,1999-03-05,3.78,2023-01-04
Drs. Nyoman Najmudin,Gg. Otto Iskandardinata No. 406,Kendari,+62 (81) 669 0698,1992-09-04,3.13,2022-01-10
Zelda Habibi,Gg. Yos Sudarso No. 912,Tangerang,(0174) 809-3846,1966-03-07,2.64,2020-08-13
Dalima Wibisono,Jl. Monginsidi No. 58,Kendari,(0598) 910 9840,2001-10-28,3.65,2019-07-09
Mutia Wijayanti,Gang Sadang Serang No. 784,Kotamobagu,(048) 873-4410,1998-12-12,2.85,2019-09-22
"Hj. Kezia Haryanto, M.Ak",Jalan Surapati No. 82,Kotamobagu,0808825931,1984-03-04,2.93,2021-11-18
Almira Prastuti,Gang Pasirkoja No. 698,Sibolga,+62 (018) 999 4291,1995-07-13,2.62,2018-05-22
"Almira Hutasoit, S.H.",Jl. Rumah Sakit No. 192,Kendari,+62 (075) 662-2104,1993-08-06,3.17,2020-07-27
Humaira Usamah,Gang Bangka Raya No. 050,Subulussalam,088 598 4789,1983-07-27,3.34,2021-01-17
"Artanto Najmudin, M.Pd",Jalan S. Parman No. 19,Blitar,+62 (0079) 396-8627,1973-11-22,3.09,2023-01-01
"Nabila Wijayanti, S.Pt",Gg. Astana Anyar No. 93,Bontang,+62 (099) 718-7221,1964-10-02,3.08,2019-08-28
Teguh Nuraini,Jalan R.E Martadinata No. 588,Pagaralam,+62 (0633) 335 9875,1991-04-08,2.66,2019-09-08
Drs. Agnes Wibowo,Jl. Cikutra Timur No. 7,Bima,+62 (0362) 573-7471,1995-02-01,2.58,2021-08-15
"Dr. Kayla Usada, S.I.Kom",Gg. S. Parman No. 076,Kendari,(056) 605 7451,1995-07-16,2.63,2019-06-15
Zahra Puspasari,Gg. Cihampelas No. 802,Bogor,(0444) 390-5130,1987-09-29,2.65,2020-03-27
Kasiyah Zulkarnain,Jalan Raya Ujungberung No. 04,Mataram,+62-0104-839-4588,1976-02-11,2.63,2021-07-26
Putri Hidayanto,Jalan Otto Iskandardinata No. 4,Padang,(0133) 504 5732,1988-09-29,2.71,2019-10-25
"R.A. Restu Hutasoit, S.Gz",Gg. KH Amin Jasuta No. 9,Mojokerto,(083) 082 4446,1990-10-23,2.79,2021-06-20
Garan Dabukke,Gg. Setiabudhi No. 1,Bekasi,+62 (989) 747 1529,1964-02-27,2.5,2022-03-09
"Oni Hardiansyah, S.IP",Jl. Sadang Serang No. 031,Jayapura,+62 (092) 461 5020,1973-01-05,2.6,2021-08-14
"Talia Hariyah, S.E.I",Jalan Cikutra Timur No. 08,Kota Administrasi Jakarta Timur,+62 (089) 511 9044,1993-08-19,2.38,2023-05-12
Tasnim Anggriawan,Jl. Cikutra Barat No. 034,Malang,+62 (066) 288 5033,2001-08-10,1.83,2019-07-25
Heryanto Lazuardi,Gang Rawamangun No. 9,Tangerang,+62-35-963-2156,1965-01-28,2.52,2018-11-20
"Yance Puspasari, S.Kom",Gang Suniaraja No. 4,Sungai Penuh,+62 (998) 094 1723,2000-02-18,3.29,2021-04-27
Dt. Cemani Mardhiyah,Gg. Rajawali Timur No. 586,Mojokerto,(045) 881-2616,1974-06-29,3.35,2021-09-05
Hilda Widodo,Jalan Kendalsari No. 00,Pematangsiantar,+62-019-962-0615,1976-08-25,3.37,2022-10-28
"Hj. Nilam Zulaika, S.Pd",Jalan Lembong No. 620,Batam,+62 (047) 855 4277,1978-01-26,3.28,2019-09-22
"Wani Haryanto, M.TI.",Jl. Jend. A. Yani No. 7,Padangpanjang,+62 (389) 730 5093,1967-09-13,3.37,2019-01-12
"Tgk. Rusman Winarsih, M.TI.",Gang Cihampelas No. 363,Yogyakarta,+62-0327-388-5733,1984-10-27,3.4,2022-02-06
H. Maryanto Rajata,Jl. Soekarno Hatta No. 422,Cilegon,+62-0879-316-4529,1994-02-02,3.41,2018-12-06
Siska Namaga,Gg. Tubagus Ismail No. 031,Tanjungpinang,+62 (0262) 545-2538,1978-10-30,3.34,2019-10-01
Balidin Fujiati,Gang Gardujati No. 6,Kotamobagu,(051) 497 8927,1977-07-04,3.37,2019-03-06
Sabrina Maulana,Gg. Moch. Toha No. 4,Kotamobagu,+62-412-631-2101,1998-10-01,3.15,2020-06-19
Endra Saptono,Jalan Sukajadi No. 201,Bitung,080 914 2073,1997-04-05,3.31,2019-03-09
Zahra Firgantoro,Jalan Yos Sudarso No. 4,Cilegon,+62 (849) 032 0603,1969-06-24,3.47,2023-02-19
Gawati Simbolon,Jalan Kapten Muslihat No. 687,Purwokerto,(098) 577-3191,1963-06-22,3.48,2020-12-14
"R. Edi Zulkarnain, S.Ked",Gang Dipenogoro No. 990,Bontang,+62 (058) 334 5664,1965-07-17,3.06,2019-01-01
R. Bakiadi Yulianti,Jl. Pelajar Pejuang No. 99,Payakumbuh,+62 (0867) 736 4016,1991-12-02,3.64,2018-09-05
Dr. Tira Megantara,Gg. Kendalsari No. 319,Medan,+62 (737) 275 2691,2001-05-18,3.25,2020-08-08
Salsabila Wahyudin,Gang BKR No. 62,Subulussalam,+62 (054) 403 4314,2002-05-20,3.5,2021-08-03
Titi Wacana,Gg. Pacuan Kuda No. 236,Kotamobagu,+62 (0418) 500 7359,1980-07-31,3.28,2021-05-01
Puti Mutia Oktaviani,Jl. Sadang Serang No. 47,Sibolga,+62 (072) 279 2191,1984-11-07,3.51,2022-06-21
"R. Niyaga Sudiati, S.Kom",Jalan R.E Martadinata No. 4,Sungai Penuh,+62 (64) 688 8369,1972-06-07,3.4,2019-12-10
Dimaz Waskita,Jalan Suniaraja No. 146,Palangkaraya,+62 (002) 731 1160,1979-12-21,3.43,2022-12-03
"dr. Gangsar Ramadan, S.Sos",Gg. Gegerkalong Hilir No. 7,Cilegon,+62 (098) 514-0052,2002-06-07,3.59,2020-05-22
"Puti Violet Mansur, S.T.",Gg. BKR No. 604,Surakarta,+62 (084) 721 4287,1987-10-28,3.46,2020-07-01
Hesti Pranowo,Jalan Kutai No. 11,Bandung,(0956) 249 9200,1975-10-29,3.19,2022-08-12
"Qori Puspasari, S.Ked",Jalan Rajiman No. 937,Jambi,(046) 094-6681,2001-04-19,3.19,2019-04-24
Yuni Handayani,Gang Bangka Raya No. 0,Kota Administrasi Jakarta Selatan,+62 (48) 524 5935,1979-11-04,3.31,2019-01-17
"Atma Hidayanto, M.Ak",Gg. Setiabudhi No. 585,Sawahlunto,(0520) 864-4097,1999-05-03,3.36,2023-04-11
Karja Usamah,Gang Jakarta No. 0,Samarinda,089 188 4061,1972-08-07,3.37,2022-06-02
Dr. Hendri Melani,Gang Asia Afrika No. 2,Dumai,+62-15-244-5268,1980-09-06,3.44,2021-04-19
Kairav Utama,Jalan Ciumbuleuit No. 519,Pagaralam,(098) 357 0973,1999-05-25,3.11,2018-10-19
Nadine Purnawati,Gg. Dipatiukur No. 88,Tasikmalaya,+62 (27) 360 6137,1996-08-25,2.56,2022-11-07
Vanya Salahudin,Gg. Pacuan Kuda No. 05,Probolinggo,(0252) 205-4284,1967-07-08,3.41,2019-04-26
Panca Nababan,Jl. Ir. H. Djuanda No. 7,Mataram,083 308 3432,1984-08-20,3.22,2018-12-02
Titi Suryono,Gang Dipatiukur No. 65,Serang,+62-57-253-6812,2002-01-21,3.31,2020-04-02
"Irma Palastri, S.T.",Gang Kapten Muslihat No. 304,Pontianak,(084) 693-4028,1976-08-06,3.22,2019-06-10
Perkasa Samosir,Jl. Bangka Raya No. 71,Padangpanjang,+62 (0552) 224-1422,1997-03-11,2.97,2019-02-04
Anita Sinaga,Gang Pasir Koja No. 8,Tomohon,0863098189,1964-12-06,2.99,2020-03-02
"Zalindra Wijayanti, S.T.",Gg. Jend. A. Yani No. 7,Cirebon,(087) 333-5876,1965-09-04,3.06,2020-12-04
Bancar Mahendra,Gang Veteran No. 74,Metro,083 527 4805,1970-11-04,2.84,2019-04-17
Elisa Palastri,Jl. Gardujati No. 5,Kota Administrasi Jakarta Utara,(005) 997-7462,1994-10-14,3.19,2018-11-29
Zalindra Nasyidah,Jl. Rumah Sakit No. 6,Meulaboh,+62-099-984-0872,1977-07-21,2.56,2022-05-10
Sakura Wahyuni,Gg. Ahmad Yani No. 03,Kendari,+62 (021) 658 9355,1988-03-18,2.85,2018-11-03
Nasrullah Prasetyo,Gang Astana Anyar No. 0,Metro,+62-979-922-3398,1986-09-12,2.69,2021-02-25
Abyasa Napitupulu,Jl. Veteran No. 8,Samarinda,+62-587-972-3703,1983-05-29,3.07,2021-01-03
Gatot Dongoran,Gg. Dipenogoro No. 462,Padang Sidempuan,+62 (058) 652-3373,1966-01-13,3.06,2021-07-16
Gasti Tarihoran,Gg. Rajawali Timur No. 60,Kotamobagu,+62 (0975) 496-4750,1997-12-19,3.13,2021-12-28
"Simon Ardianto, M.M.",Jl. Indragiri No. 74,Bau-Bau,(0804) 783-0051,1974-10-28,3.07,2019-08-29
Zaenab Susanti,Gang Ciumbuleuit No. 4,Pagaralam,(076) 090-7737,1997-07-16,3.56,2021-05-16
"Lala Anggraini, S.Sos",Gang R.E Martadinata No. 7,Banjar,+62 (960) 351 8329,1990-12-05,3.49,2023-03-16
"Dr. Olivia Budiman, S.I.Kom",Gg. Dr. Djunjunan No. 588,Cilegon,+62 (0577) 134 1541,1978-02-01,3.01,2019-08-18
Tania Habibi,Gg. Pelajar Pejuang No. 751,Manado,081 619 3866,1999-11-19,3.32,2021-08-18
Latika Lailasari,Jl. Tebet Barat Dalam No. 44,Sungai Penuh,+62 (0492) 871-7937,1973-12-01,3.45,2020-05-18
Raden Salahudin,Gg. Pasir Koja No. 4,Kediri,+62 (273) 475 9609,1983-02-22,2.69,2022-11-08
Elvina Kuswoyo,Jalan Sukabumi No. 847,Payakumbuh,+62 (0557) 687-8499,1994-11-24,2.76,2020-03-25
Kadir Purnawati,Jl. Ahmad Yani No. 055,Bitung,+62 (024) 688-0701,1970-07-09,3.28,2020-04-12
Drs. Hamzah Wastuti,Gg. Ahmad Dahlan No. 0,Pekanbaru,(0198) 073 7114,1974-12-09,2.41,2022-03-23
Tami Pradipta,Gang HOS. Cokroaminoto No. 56,Pontianak,+62 (0140) 038 9840,1977-03-24,3.26,2018-09-07
"Intan Rajasa, M.Pd",Jl. Pasir Koja No. 343,Blitar,(0506) 311 3745,1975-01-17,3.23,2022-10-27
Mahesa Dongoran,Gg. Gardujati No. 61,Parepare,+62-93-909-5279,1980-07-11,2.76,2022-06-20
Yance Anggraini,Gg. Otto Iskandardinata No. 248,Kota Administrasi Jakarta Utara,(0251) 961-0727,1979-02-28,3.01,2019-12-18
Bahuwirya Najmudin,Gg. Monginsidi No. 33,Semarang,(014) 281 5430,1968-04-26,2.86,2020-06-17
drg. Cinta Melani,Gang Ciumbuleuit No. 9,Gorontalo,(009) 910-5509,1987-12-24,3.45,2021-06-02
"Harimurti Maryati, S.Gz",Gang R.E Martadinata No. 9,Bitung,(0593) 707 8710,1974-10-07,3.39,2020-10-01
Pia Permata,Jl. Sadang Serang No. 494,Tidore Kepulauan,(021) 810 8903,1993-11-10,3.52,2019-05-29
"Nalar Waskita, S.I.Kom",Jl. Merdeka No. 9,Bekasi,082 353 0455,1971-06-02,2.84,2018-08-20
"R. Padma Sinaga, M.Ak",Jalan Siliwangi No. 166,Pasuruan,+62 (72) 331-9429,1975-11-23,3.08,2021-03-05
dr. Vanya Permata,Gg. Pelajar Pejuang No. 581,Bima,+62-839-114-5864,1966-07-28,3.21,2022-01-26
Bahuwarna Hastuti,Gg. Sukabumi No. 56,Padang,+62 (084) 071 6717,1997-06-22,2.73,2020-01-25
Qori Saragih,Gg. Sentot Alibasa No. 02,Yogyakarta,+62 (018) 988-8735,1992-05-31,3.15,2019-08-10
Nilam Latupono,Jalan Yos Sudarso No. 44,Medan,+62 (0371) 304 2649,1986-01-24,3.13,2019-12-03
Jail Hakim,Jl. Veteran No. 007,Serang,+62 (637) 174 4975,1991-12-19,3.13,2022-04-27
"Cawuk Riyanti, S.Sos",Jalan Veteran No. 5,Banjarmasin,+62 (036) 982 0726,1974-09-18,3.45,2021-11-21
Drs. Ade Maheswara,Jalan Kutai No. 200,Sungai Penuh,+62 (056) 782 7656,1979-11-03,3.31,2020-12-13
Nilam Hutagalung,Gang BKR No. 90,Bima,+62 (794) 155-2482,1967-03-16,2.28,2022-07-18
